#,name,asof,volume,close_usd,sector_level1,sector_level2,mktcap_usd
10598,Alphabet Class C,2018-01-09,18050812,55.313026999999998,Technology,Software & IT Services,315284254268.17999
10599,Alphabet Class C,2018-01-10,20855851,55.130532000000002,Technology,Software & IT Services,314244032353.22998
10600,Alphabet Class C,2018-01-11,19565832,55.276026999999999,Technology,Software & IT Services,315073354184.04999
10601,Alphabet Class C,2018-01-12,34410646,56.113027000000002,Technology,Software & IT Services,319844256087.17999
10602,Alphabet Class C,2018-01-15,0,56.113027000000002,Technology,Software & IT Services,319844256087.17999
10603,Alphabet Class C,2018-01-16,31505207,56.088026999999997,Technology,Software & IT Services,319701756030.34003
10604,Alphabet Class C,2018-01-17,24052770,56.599023000000003,Technology,Software & IT Services,322614428692.21997
10605,Alphabet Class C,2018-01-18,23964670,56.489528,Technology,Software & IT Services,321990306943.25
10606,Alphabet Class C,2018-01-19,35564565,56.875528000000003,Technology,Software & IT Services,324190507820.91998
10607,Alphabet Class C,2018-01-22,32359487,57.790528000000002,Technology,Software & IT Services,329406009901.40002
10608,Alphabet Class C,2018-01-23,26661109,58.498522999999999,Technology,Software & IT Services,333441583011.21002
10609,Alphabet Class C,2018-01-24,28332488,58.212023000000002,Technology,Software & IT Services,331808532359.78003
10610,Alphabet Class C,2018-01-25,29610788,58.518532999999998,Technology,Software & IT Services,333555640056.71002
10611,Alphabet Class C,2018-01-26,40375083,58.792028000000002,Technology,Software & IT Services,335114562178.57001
10612,Alphabet Class C,2018-01-29,27578248,58.779027999999997,Technology,Software & IT Services,335040462149.01001
10613,Alphabet Class C,2018-01-30,31126907,58.184522999999999,Technology,Software & IT Services,331651782297.25
10614,Alphabet Class C,2018-01-31,30773747,58.497022999999999,Technology,Software & IT Services,333433033007.79999
10615,Alphabet Class C,2018-02-01,48242260,58.385022999999997,Technology,Software & IT Services,332794632753.14001
10616,Alphabet Class C,2018-02-02,97158801,55.595022,Technology,Software & IT Services,316891626409.37
10617,Alphabet Class C,2018-02-05,75965989,52.790025999999997,Technology,Software & IT Services,300903148531.5
10618,Alphabet Class C,2018-02-06,68959092,54.030026999999997,Technology,Software & IT Services,307971151350.95001
10619,Alphabet Class C,2018-02-07,47384621,52.429026,Technology,Software & IT Services,298845447710.66998
10620,Alphabet Class C,2018-02-08,57182697,50.076025000000001,Technology,Software & IT Services,285433342360.53003
10621,Alphabet Class C,2018-02-09,70117212,51.889026000000001,Technology,Software & IT Services,295767446482.84003
10622,Alphabet Class C,2018-02-12,41154343,52.597020999999998,Technology,Software & IT Services,299803019592.65002
10623,Alphabet Class C,2018-02-13,25301069,52.605026000000002,Technology,Software & IT Services,299848648110.84998
10624,Alphabet Class C,2018-02-14,31115727,53.485021000000003,Technology,Software & IT Services,304864621611.73999
10625,Alphabet Class C,2018-02-15,36868825,54.476027000000002,Technology,Software & IT Services,310513352365.04999
10626,Alphabet Class C,2018-02-16,33632226,54.740026999999998,Technology,Software & IT Services,312018152965.32001
10627,Alphabet Class C,2018-02-19,0,54.740026999999998,Technology,Software & IT Services,312018152965.32001
10628,Alphabet Class C,2018-02-20,28462888,55.123021999999999,Technology,Software & IT Services,314201225336.15002
10629,Alphabet Class C,2018-02-21,30258187,55.567027000000003,Technology,Software & IT Services,316732054845.71002
10630,Alphabet Class C,2018-02-22,26343309,55.331516999999998,Technology,Software & IT Services,315389647310.21997
10631,Alphabet Class C,2018-02-23,25219349,56.339526999999997,Technology,Software & IT Services,321135306602.19
10632,Alphabet Class C,2018-02-26,31181567,57.187522999999999,Technology,Software & IT Services,325968880030.32001
10633,Alphabet Class C,2018-02-27,35481585,55.914527,Technology,Software & IT Services,318712805635.84003
10634,Alphabet Class C,2018-02-28,37651984,55.236522000000001,Technology,Software & IT Services,314848175594.22998
10635,Alphabet Class C,2018-03-01,50318179,53.476025999999997,Technology,Software & IT Services,304813350091.28998
10636,Alphabet Class C,2018-03-02,45431001,53.946021999999999,Technology,Software & IT Services,307492322659.95001
10637,Alphabet Class C,2018-03-05,24043470,54.546522000000003,Technology,Software & IT Services,310915174025.33002
10638,Alphabet Class C,2018-03-06,30655647,54.753027000000003,Technology,Software & IT Services,312092252994.88
10639,Alphabet Class C,2018-03-07,25850729,55.482016999999999,Technology,Software & IT Services,316247497652.41998
10640,Alphabet Class C,2018-03-08,27102489,56.300021999999998,Technology,Software & IT Services,320910128012.35999
10641,Alphabet Class C,2018-03-09,42560743,58.002028000000003,Technology,Software & IT Services,330611560382.29999
10642,Alphabet Class C,2018-03-12,43445422,58.225023,Technology,Software & IT Services,331882632389.34003
10643,Alphabet Class C,2018-03-13,38143404,56.908523000000002,Technology,Software & IT Services,324378579395.94
10644,Alphabet Class C,2018-03-14,25828289,57.474522999999998,Technology,Software & IT Services,327604780682.89001
10645,Alphabet Class C,2018-03-15,29444508,57.479028,Technology,Software & IT Services,327630459193.13
10646,Alphabet Class C,2018-03-16,61839055,56.786523000000003,Technology,Software & IT Services,323683179118.53998
10647,Alphabet Class C,2018-03-19,56118717,54.991027000000003,Technology,Software & IT Services,313448853536.03003
10648,Alphabet Class C,2018-03-20,36637905,54.885522000000002,Technology,Software & IT Services,312847474796.14001
10649,Alphabet Class C,2018-03-21,37577445,54.544016999999997,Technology,Software & IT Services,310900895519.64001
10650,Alphabet Class C,2018-03-22,53339258,52.454025999999999,Technology,Software & IT Services,298987947767.52002
10651,Alphabet Class C,2018-03-23,43133422,51.078524999999999,Technology,Software & IT Services,291147594639.96997
